name,price,img
Samsung Galaxy A35 5G RAM 8 GB ROM 256 GB Front Camera	13 MP Back Camera 50 MP + 8 MP + 5 MP   Battery Type	5000 mAh,120000.00,https://static-01.daraz.pk/p/77460f49f58437b27888111d5c61fd47.png
"Samsung Galaxy A03 - 6.5"" Inch Display - 4GB RAM - 64GB ROM",21999.00,https://static-01.daraz.pk/p/94160a264b4168f1b40dff65aa988148.jpg
"Samsung Galaxy Tab A7 Lite - 8.7"" Inch Display - WiFi - 32GB - SM-T220",37999.00,https://static-01.daraz.pk/p/31c19251eded2710a1220c8e8bf7f1c9.jpg
Samsung galaxy auto focus A10,180.00,https://pk-live-21.slatic.net/kf/Scf94eeee87c04bfbbae4a591cc982eebP.jpg
Samsung Galaxy A15 8GB RAM + 256 ROM,59999.00,https://static-01.daraz.pk/p/ea156c64e5c6c3109701687225a33f65.jpg
"Samsung Galaxy A35 5G - 8GB/256GB - 6.6"" Display - 5000 mAh Battery",119999.00,https://static-01.daraz.pk/p/8a3dacd847088e9ac434e8d925f9aa19.jpg
"Samsung Galaxy A55 5G - 8GB 256GB - 6.6"" Display - 5000 mAh Battery - PTA Approved 1 Year Official Warranty",139999.00,https://static-01.daraz.pk/p/b66e3f7b63921fcf93d447a9bad176c9.jpg
Samsung Galaxy S22 ultra 12/256 12/512 Dual sim CPID Pta Approved,196500,https://pk-live-21.slatic.net/kf/Sc2f5d4239691404c82b859b2cd2e80a92.jpg
Samsung Galaxy A15 8GB RAM + 256 ROM,59999.00,https://static-01.daraz.pk/p/ea156c64e5c6c3109701687225a33f65.jpg
"Samsung Galaxy A35 5G - 8GB/256GB - 6.6"" Display - 5000 mAh Battery",119999.00,https://static-01.daraz.pk/p/8a3dacd847088e9ac434e8d925f9aa19.jpg
"Samsung Galaxy A55 5G - 8GB 256GB - 6.6"" Display - 5000 mAh Battery - PTA Approved 1 Year Official Warranty",138999.00,https://static-01.daraz.pk/p/b66e3f7b63921fcf93d447a9bad176c9.jpg
Samsung Galaxy S22 ultra 12/256 12/512 Dual sim CPID Pta Approved,196500,https://pk-live-21.slatic.net/kf/Sc2f5d4239691404c82b859b2cd2e80a92.jpg
Samsung Galaxy A05s 6GB 128GB Mobile Phone,45999.00,https://static-01.daraz.pk/p/b5baa62f5ffa3c02ebac224ae65242cb.jpg
SAMSUNG GALAXY TAB 3 BEST FOR KIDS,9999.00,https://static-01.daraz.pk/p/21ce66cfcfa7e239e024d5f60bb4773b.jpg
Samsung Tab A T290 8 inch 2gb 32gb with FREE TABLET COVER,16450.00,https://pk-live-21.slatic.net/kf/Sc49b77fc46904610805c9dbf9baf5d15m.jpg
"Samsung Galaxy A24 , 6GB Ram 128GB Rom , 6.5 Inches AMLOED Display , 5000 mAh   - Fast charging 25W wired",76999.00,https://static-01.daraz.pk/p/0111708fa69dc35f0c9712b2a5c0cd50.jpg
"Samsung Galaxy A34 5G - 6.6"" Inch Display - 8GB RAM - 128GB & 256GB ROM",91999.00,https://static-01.daraz.pk/p/3a83af01c32d8d8d4137970f0c6ab7b2.jpg
Samsung Galaxy A05 4GB RAM 64GB Storage HD+ Display Dual Camera 5000mAh Battery,24666.00,https://static-01.daraz.pk/p/37daa8fe5f1236044bcabf6957cb9a70.jpg
Samsung Tab A 2019 T290 8Inch Wi-Fi 32GB SILVER  FREE TABLET COVER,15999.00,https://static-01.daraz.pk/p/d150a017a14724d13a6f505f2b35ed39.jpg
Samsung Galaxy A25 5G 8GB RAM + 256GB ROM,98500.00,https://static-01.daraz.pk/p/f0ad304ac6520c3cb6b1e5b353379a6b.jpg
"Samsung A15 - 8GB RAM 256GB ROM - 6.5 Inches  Super AMOLED Display - 13MP Front Camera - 50MP+5MP+2MP Triple Rear Camera - Dual SIM - 5000 mAh, non-removable - 1 Year Warranty - PTA APPROVED",59999.00,https://static-01.daraz.pk/p/879a745c128af973f897aeebf0632c9b.png
Samsung Galaxy Flip 5 8GB + 512GB,314999.00,https://static-01.daraz.pk/p/00b3c8de754a5a028a5edba4373363d7.jpg
Samsung Galaxy A05s - 6GB Ram 128GB Rom - 5000mAh Battery,44550.00,https://static-01.daraz.pk/p/a24490e7392ef729eb4db9818f93bb28.jpg
"Samsung Galaxy A55 5G - 8GB/256GB - 6.6"" Display - 5000 mAh Battery",139999.00,https://static-01.daraz.pk/p/c27ad3e64cd0d0b3409bc0aef6792dd4.jpg
Samsung Galaxy A25 5G 8GB RAM + 256GB ROM,98500.00,https://static-01.daraz.pk/p/f0ad304ac6520c3cb6b1e5b353379a6b.jpg
"Samsung A15 - 8GB RAM 256GB ROM - 6.5 Inches  Super AMOLED Display - 13MP Front Camera - 50MP+5MP+2MP Triple Rear Camera - Dual SIM - 5000 mAh, non-removable - 1 Year Warranty - PTA APPROVED",59999.00,https://static-01.daraz.pk/p/879a745c128af973f897aeebf0632c9b.png
Samsung Galaxy S22 Ultra 12/256  12/512 Pta Approved,220000.00,https://pk-live-21.slatic.net/kf/Scba13ec33ce84b5394a96dc4bfd2725es.jpg
"Samsung Galaxy Tab A7 Lite T220 3GB+32GB 8.7"" Display",29999.00,https://static-01.daraz.pk/p/ccb6f751325da60347877df943dada70.jpg
Samsung Galaxy Fold 5 12 GB+512GB,544999.00,https://static-01.daraz.pk/p/f53c9503989ba00847709c43b69b103b.jpg
"Samsung Galaxy A05 || 4GB Ram 64GB Rom || 6.7"" HD+ Display || Mediatek Helio G85 (12nm) || 5000 mAh- Fast charging 25W wired",24999.00,https://static-01.daraz.pk/p/0fe8facb880c5ecbbadc4f87140e39a3.jpg
Samsung Galaxy A35 5G RAM 8 GB ROM 256 GB Front Camera	13 MP Back Camera 50 MP + 8 MP + 5 MP   Battery Type	5000 mAh,120000.00,https://static-01.daraz.pk/p/77460f49f58437b27888111d5c61fd47.png
"Samsung Galaxy A03 - 6.5"" Inch Display - 4GB RAM - 64GB ROM",21999.00,https://static-01.daraz.pk/p/94160a264b4168f1b40dff65aa988148.jpg
"Samsung Galaxy Tab A7 Lite - 8.7"" Inch Display - WiFi - 32GB - SM-T220",37999.00,https://static-01.daraz.pk/p/31c19251eded2710a1220c8e8bf7f1c9.jpg
Samsung galaxy auto focus A10,180.00,https://pk-live-21.slatic.net/kf/Scf94eeee87c04bfbbae4a591cc982eebP.jpg
"Samsung Galaxy A14 , 4GB Ram 128GB Rom , 6.8 PLS LCD Capacitive Touchscreen , 5000 mAh - Fast charging 15W",41999.00,https://static-01.daraz.pk/p/36071a94dd48119332a6c2a1cb217c64.jpg
Samsung Galaxy Fold 5 12 GB+512GB,544999.00,https://static-01.daraz.pk/p/f53c9503989ba00847709c43b69b103b.jpg
"Samsung Galaxy A05 || 4GB Ram 64GB Rom || 6.7"" HD+ Display || Mediatek Helio G85 (12nm) || 5000 mAh- Fast charging 25W wired",24999.00,https://static-01.daraz.pk/p/0fe8facb880c5ecbbadc4f87140e39a3.jpg
"Samsung Galaxy A34 , 5G , 8GB Ram 256GB Rom , 6.6 Inches AMOLED Display 120Hz , 5000 mAh-Fast battery 25W wired",110999.00,https://static-01.daraz.pk/p/8615a8b77da43de4d89a066a340f7626.jpg
Samsung Galaxy A05s 6GB 128GB Mobile Phone,45999.00,https://static-01.daraz.pk/p/b5baa62f5ffa3c02ebac224ae65242cb.jpg
SAMSUNG GALAXY TAB 3 BEST FOR KIDS,9999.00,https://static-01.daraz.pk/p/21ce66cfcfa7e239e024d5f60bb4773b.jpg
Samsung Tab A T290 8 inch 2gb 32gb with FREE TABLET COVER,16450.00,https://pk-live-21.slatic.net/kf/Sc49b77fc46904610805c9dbf9baf5d15m.jpg
Samsung Galaxy A05s RAM 4 GB ROM 128 GB Front Camera 13 MP Back Camera 50 MP + 2 MP + 2 MP Battery Type	5000 mAh,40980.00,https://static-01.daraz.pk/p/51a7cafc528d0e13a8550a6725f2032b.png
"Samsung Galaxy Tab A7 Lite - 8.7"" Inch Display - WiFi - 32GB - SM-T220",37999.00,https://static-01.daraz.pk/p/31c19251eded2710a1220c8e8bf7f1c9.jpg
"Samsung Galaxy A14 , 4GB Ram 128GB Rom , 6.8 PLS LCD Capacitive Touchscreen , 5000 mAh - Fast charging 15W",41999.00,https://static-01.daraz.pk/p/36071a94dd48119332a6c2a1cb217c64.jpg
"Samsung Galxay Tab A8 - 10.5"" Inch Display - 4GB RAM - 64GB ROM - Wifi - X200",56990.00,https://static-01.daraz.pk/p/8c25a08b04bc5d0e833bcc7fb0468afc.jpg
"Samsung Galaxy Tab S6 Lite - 10.4"" Inch Display - WiFi - 4GB RAM - 128GB ROM",85999.00,https://static-01.daraz.pk/p/904273f7a50aecc23aa6c0b267448c05.jpg
"Samsung Galaxy Tab S6 Lite - 10.4"" Inch Display - WiFi - 4GB RAM - 128GB ROM",85999.00,https://static-01.daraz.pk/p/904273f7a50aecc23aa6c0b267448c05.jpg
